sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image,sl_private,sl_neat_title,sl_linked_postid,sl_pages_url,sl_option_value,sl_lastupdated
1,Air &amp; Plumbing Systems Inc.,285 Sobrante Way,Unit P1,Sunnyvale,CA,94085,USA,37.3840903,-122.0342895,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Local Heating Specialist,info@thehvac.net,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-408-733-2000,1-800-282-4912,,,,,http://www.airandplumbing.com,,
2,Convectek Inc,3333 Bowers Ave.,,Santa Clara,CA,95054,USA,37.380495,-121.977935,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Servicing Indoor Comfort - Offering Peace of Mind,info@thehvac.net,http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas,"7-7 Monday - Saturday, 9-5 Sunday",408-503-6317,1-800-282-4912,,,,,http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas,,
3,My HVAC Shop HQ,285 Sobrante Way,Unit P2,Sunnyvale,CA,94085,USA,37.3840953,-122.034256,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Local HVAC Equipment Supply House,info@thehvac.net,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,1-800-282-4912,,,,,http://www.airandplumbing.com,,
4,Global HVAC Distributors,900 Spreckles Ave.,,Manteca,CA,95336,USA,37.785927,-121.200851,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://www.globalhvac.net,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,1-800-282-4912,,,,,http://www.globalhvac.net,,
1160,AandB Heating and Air Conditioning,15321 Purdy Street,,Westminster,CA,92683,USA,33.740165,-117.978251,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Most Respected Name in the Region,info@thehvac.net,http://aandbheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(714) 903-8569,1-800-282-4912,,,,,http://aandbheating.myhvacshop.com/services/,,
1161,"A and B Mechanical, Inc.",26062 Eden Landing Road,,Hayward,CA,94545,USA,37.6268617,-122.1204487,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need it Fast and You Need it Expert,info@thehvac.net,http://aandbmechanical.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(510) 264-5800,1-800-282-4912,,,,,http://aandbmechanical.myhvacshop.com/services/,,
1163,AandG HVAC A Partnership,816 Fallen Leaf Lane,,Modesto,CA,95351,USA,37.617524,-120.982176,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Our comfort depends on your comfort,info@thehvac.net,http://aandghvac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 204-2063,1-800-282-4912,,,,,http://aandghvac.myhvacshop.com/services/,,
1164,A and M Htg Air Cond,27135 Garza Drive,,Santa Clarita,CA,91350,USA,34.435912,-118.525047,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Don't Delay Call Today,info@thehvac.net,http://aandmhtg.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 341-7757,1-800-282-4912,,,,,http://aandmhtg.myhvacshop.com/services/,,
1166,"AC Depot, Inc.",7349 Topanga Canyon Blvd,,Canoga Park,CA,91303,USA,34.204263,-118.606263,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Where Experts Fix Your Problems,info@thehvac.net,http://acdepotinc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 676-0060,1-800-282-4912,,,,,http://acdepotinc.myhvacshop.com/services/,,
1168,A 1 Ocean Breeze Inc.,26845 Oak Avenue Unit 16,,Canyon Country,CA,91351,USA,34.424732,-118.501046,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need an Expert,info@thehvac.net,http://www.thehvac.net/member/a-1-ocean-breeze-inc/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 252-6800,1-800-282-4912,,,,,http://www.thehvac.net/member/a-1-ocean-breeze-inc/,,
