Store ID,Store Name,Street address,Unit,City,State,Zip code,Latitude,Longitude,Tags,Description,URL,Store Hours,Phone,Image,sl_email,sl_pages_url
1,Air &amp; Plumbing Systems Inc.,285 Sobrante Way,Unit P1,Sunnyvale,CA,94085,37.3840903,-122.0342895,furnace repair&#44;,Local Heating Specialist,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-408-733-2000,http://www.airandplumbing.com/wp-content/uploads/2012/12/300x70aandplogo5.png,info@thehvac.net,http://www.thehvac.net/member/air-plumbing-systems-inc/
2,Convectek Inc,3333 Bowers Ave.,,Santa Clara,CA,95054,37.380495,-121.977935,furnace repair&#44;,Servicing Indoor Comfort - Offering Peace of Mind,http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas,"7-7 Monday - Saturday, 9-5 Sunday",408-503-6317,http://www.convectek.com/wp-content/uploads/2011/08/logo_convectek.png,info@thehvac.net,http://www.thehvac.net/member/convectek-inc/
3,My HVAC Shop HQ,285 Sobrante Way,Unit P2,Sunnyvale,CA,94085,37.3840953,-122.034256,furnace repair&#44;,Local HVAC Equipment Supply House,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png,info@thehvac.net,http://www.thehvac.net/member/my-hvac-shop-hq/
4,Global HVAC Distributors,900 Spreckles Ave.,,Manteca,CA,95336,37.785927,-121.200851,furnace repair&#44;,"Your 911 For Plumbing, Heating & A/C",http://www.globalhvac.net,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,info@thehvac.net,http://www.thehvac.net/member/global-hvac-distributors/
1160,AandB Heating and Air Conditioning,15321 Purdy Street,,Westminster,CA,92683,33.740165,-117.978251,heater repair,Most Respected Name in the Region,http://aandbheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(714) 903-8569,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png,info@thehvac.net,http://www.thehvac.net/member/aandb-heating-and-air-conditioning/
1161,"A and B Mechanical, Inc.",26062 Eden Landing Road,,Hayward,CA,94545,37.6268617,-122.1204487,heater repair,When You Need it Fast and You Need it Expert,http://aandbmechanical.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(510) 264-5800,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png,info@thehvac.net,http://www.thehvac.net/member/a-and-b-mechanical-inc/
1163,AandG HVAC A Partnership,816 Fallen Leaf Lane,,Modesto,CA,95351,37.617524,-120.982176,heater repair,Our comfort depends on your comfort,http://aandghvac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 204-2063,http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png,info@thehvac.net,http://www.thehvac.net/member/aandg-hvac-a-partnership/
1164,A and M Htg Air Cond,27135 Garza Drive,,Santa Clarita,CA,91350,34.435912,-118.525047,heater repair,Don't Delay Call Today,http://aandmhtg.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 341-7757,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png,info@thehvac.net,http://www.thehvac.net/member/a-and-m-htg-air-cond/
1166,"AC Depot, Inc.",7349 Topanga Canyon Blvd,,Canoga Park,CA,91303,34.204263,-118.606263,heater repair,Where Experts Fix Your Problems,http://acdepotinc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 676-0060,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png,info@thehvac.net,http://www.thehvac.net/member/ac-depot-inc/
1168,A 1 Ocean Breeze Inc.,26845 Oak Avenue Unit 16,,Canyon Country,CA,91351,34.424732,-118.501046,heater repair,When You Need an Expert,http://www.thehvac.net/member/a-1-ocean-breeze-inc/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 252-6800,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png,info@thehvac.net,http://www.thehvac.net/member/a-1-ocean-breeze-inc/
1170,A A A Equipment Repair,5816 Roseville Rd #8,,Sacramento,CA,95842,38.6717571,-121.3682867,heater repair,SOS Service and Installation,http://aaaequ.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(916) 338-4822,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-5.png,info@thehvac.net,http://www.thehvac.net/member/a-a-a-equipment-repair/
1171,AAA Heating and Air Cond.,8830 Balboa Blvd.,,Northridge,CA,91324,34.231134,-118.501897,heater repair,Specializing in Your Comfort Since 1968,http://aaaheat.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 262-2481,http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-6.png,info@thehvac.net,http://www.thehvac.net/member/aaa-heating-and-air-cond/
